sol_wallet,eth_wallet,worm_balance,nema_balance
6fM28icGbC66rx2XAzHvBC8xmGERfjb5rsNuy3hqd4gN,0x2120e6d5815B08E9161F8e55CbF049fa870A3842,47522,46480
F5zhgAxLqXsREFB83PFGeenSReuae7tXYkQGaUGK3WMW,0x590715f701988db470fea16279295d32d7ce9cb6,105114,102808
AWS1PRuJKtKj2dAUFK3GS7WSXuHfpUwXqh4pwk61nebE,0x590715f701988db470fea16279295d32d7ce9cb6,411086,402068
vzt9mhUcQmarAEePbmW5m3cg7PVBXCAdh8yKGjV4K9G,0x970892Cd776985dD2e7060fB979B360B3Aae13c6,9887,9670
DSZXb4gLRBZpmdLTE2CUxXxTQrFEs1aVr8HvNgfNYHjj,0xE7EC52594414e6C85c8aDC965EdC7Bf13563f119,13897,13592
7Am3wFiYqkLLWAzvkS9ZBLWSVyqxmUwJo1ZSQ7xEek4k,0x5a8f2e162830f5CE13d0846643D6c5527d0dD38B,375113,366885
1Z3qZWqy7VMBu75btsxWmFEyZx5YJ7mncW2aPHTUYdv,0x307388a2fc4989cE74C3145FDC76b04F41ca09e3,5542,5420
Ex13EkncVaKjfvPbREDcpoKQpGYjYXHUnGRdZBp72u1z,0x590715f701988db470fea16279295d32d7ce9cb6,116589,114032
3Q1sWUbM7YYt9hhtUR2rLt8HeKScfMPmBiKN5MvCf2Ym,0x590715f701988db470fea16279295d32d7ce9cb6,146272,143063
4drqUzmHoo3TdwiKPUVdcPTvMWgco54zcgamUnhCUkUL,0x590715f701988db470fea16279295d32d7ce9cb6,741055,724799
6EM552qF3qzyPM3Jd2n9KPySB569HfbxsF9nMHYQeRYg,0x9c77943e25b5bd9bb6792105e2b666d82cb52896,46119,45107
3yZ91uMNjRnL5FiFtPTHTLZk6cgavgnwU9PUdLMXSA43,0x9c77943e25b5bd9bb6792105e2b666d82cb52896,200000,195613
81q1CEpYBWctxmNfYTdfNvCSN8Sm6ELRDkHswZpAjxBy,0x45129a67990b967e0fad925a492507b6b14999a7,36935,36125
EbuSC35Ui6L9Nsw8b814ZTqJekAS38nJfSVkn38pDZtV,0x78794eeBDd7D1954665a7499a44142008C0192c2,152053,148718
7pkTzKFFjfHSVgjNSvqfXebJhms2RE2s4zenT2hGXMS7,0x658B2BAcB9EcF0cF14CC85FBf2278D39Be3657CE,1925,1883
hy924vymKMAF3jxkZf4F2syMo1mMCDNYwVpfFLQQTkL,0x991A1Bf10aF3AeD0aF1Ef1F6a26f86ebD1968e4e,2408329,2355500
FV6AnnWoHDfT87FrRPvrLpbxH7rT8tkzfQmbwBYfxWFF,0x6D8ed652fBd0B2B32a42e5F88E78cA261e8B3e68,3009541,2943524
7BQUgPWUwcwXoEjkHcbT5is27x9Gxb9C8FBNmUaGGVoY,0x6Bd595AAA2550aaA58424915763f2Ebcbf1284F4,4964445,4855545
BZsY4sFqBgSb1EEJUpg1XcxEDo2oEvGHmkKyzVUr6bVW,0x19fB9dF7cdb9D2547798c3472D445c1eB8EBB5Bd,3996306,3908643
